Year,Geographical Area,Tenure,Value
2014,Greater Kingston Metropolitan Area,Leased,6.5
2014,Greater Kingston Metropolitan Area,Rented,24.0
2014,Greater Kingston Metropolitan Area,Rent Free,28.5
2014,Greater Kingston Metropolitan Area,Squatted,4.4
2015,Greater Kingston Metropolitan Area,Owned,38.2
2015,Greater Kingston Metropolitan Area,Leased,7.3
2015,Greater Kingston Metropolitan Area,Rented,25.5
2015,Greater Kingston Metropolitan Area,Rent Free,25.3
2015,Greater Kingston Metropolitan Area,Squatted,3.6
2016,Greater Kingston Metropolitan Area,Owned,36.2
2016,Greater Kingston Metropolitan Area,Leased,6.6
2016,Greater Kingston Metropolitan Area,Rented,19.2
2016,Greater Kingston Metropolitan Area,Rent Free,33.1
2016,Greater Kingston Metropolitan Area,Squatted,4.5
2017,Greater Kingston Metropolitan Area,Owned,42.7
2017,Greater Kingston Metropolitan Area,Leased,4.2
2017,Greater Kingston Metropolitan Area,Rented,20.4
2017,Greater Kingston Metropolitan Area,Rent Free,26.6
2017,Greater Kingston Metropolitan Area,Squatted,5.8
2013,Other Urban Centres,Owned,43.1
2013,Other Urban Centres,Leased,7.8
2013,Other Urban Centres,Rented,17.4
2013,Other Urban Centres,Rent Free,25.6
2013,Other Urban Centres,Squatted,5.9
2014,Other Urban Centres,Owned,33.1
2014,Other Urban Centres,Leased,7.2
2014,Other Urban Centres,Rented,19.7
2014,Other Urban Centres,Rent Free,31.8
2014,Other Urban Centres,Squatted,8.3
2015,Other Urban Centres,Owned,44.0
2015,Other Urban Centres,Leased,4.9
2015,Other Urban Centres,Rented,24.0
2015,Other Urban Centres,Rent Free,22.7
2015,Other Urban Centres,Squatted,4.2
2016,Other Urban Centres,Owned,41.3
2016,Other Urban Centres,Leased,6.2
2016,Other Urban Centres,Rented,17.9
2016,Other Urban Centres,Rent Free,25.6
2016,Other Urban Centres,Squatted,8.6
2017,Other Urban Centres,Owned,40.5
2017,Other Urban Centres,Leased,5.8
2017,Other Urban Centres,Rented,18.1
2017,Other Urban Centres,Rent Free,27.7
2017,Other Urban Centres,Squatted,7.3
2013,Rural Areas,Owned,48.5
2013,Rural Areas,Leased,8.1
2013,Rural Areas,Rented,7.4
2013,Rural Areas,Rent Free,33.0
2013,Rural Areas,Squatted,2.1
2014,Rural Areas,Owned,40.9
2014,Rural Areas,Leased,6.4
2014,Rural Areas,Rented,8.3
2014,Rural Areas,Rent Free,39.1
2014,Rural Areas,Squatted,4.6
2015,Rural Areas,Owned,45.0
2015,Rural Areas,Leased,4.2
2015,Rural Areas,Rented,8.9
2015,Rural Areas,Rent Free,38.4
2015,Rural Areas,Squatted,3.1
2016,Rural Areas,Owned,49.6
2016,Rural Areas,Leased,4.9
2016,Rural Areas,Rented,9.2
2016,Rural Areas,Rent Free,32.7
2016,Rural Areas,Squatted,2.3
2017,Rural Areas,Owned,46.2
2017,Rural Areas,Leased,4.1
2017,Rural Areas,Rented,9.0
2017,Rural Areas,Rent Free,39.0
2017,Rural Areas,Squatted,1.2
